A.19078,A.19312,A.19332,B.15012,B.15076,B.15096,C.11064,C.11070,C.11425,D.07042,D.07418,D.07428,E.03072,E.03094,E.03098,F.98314,F.98372,F.98398
0.019179994,0.022586895,0.024211231,0.021971529,0.026840718,0.021971529,0.029505127,0.027935978,0.029858544,0.03067236,0.034582309,0.032735882,0.027912667,0.027464257,0.034544808,0.035204849,0.035204849,0.026858853
0.008439806,0.007224107,0.015257863,0.013630367,0.011129827,0.013630367,0.020424943,0.016115981,0.018840717,0.018702893,0.020940388,0.013792624,0.015806659,0.017469013,0.028649765,0.066280662,0.066280662,0.037393614
0.033615123,0.030442878,0.041713571,0.035588434,0.04209386,0.035588434,0.039118553,0.034070537,0.041328681,0.034737081,0.036802707,0.041214735,0.033843824,0.039104437,0.039169573,0.041210967,0.041210967,0.036446629
0.014251052,0.014859927,0.014123596,0.017871104,0.020387544,0.017871104,0.01832427,0.016797658,0.015989458,0.015747323,0.019097618,0.018165928,0.016227489,0.017943434,0.019600089,0.024357784,0.024357784,0.024107272
0.009944529,0.011810018,0.010973543,0.013951113,0.016833179,0.013951113,0.018451449,0.011734069,0.013868189,0.018864871,0.023104876,0.016025062,0.017555804,0.013214846,0.023299936,0.028278676,0.028278676,0.018532821
0.003187614,0.003699856,0.009644214,0.010744378,0.007448812,0.010744378,0.007569623,0.002622754,0.003683738,0.004348816,0.007499541,0.003967714,0.01063961,0.006167003,0.025639993,0.043890825,0.043890825,0.014151403
0.002759714,0.002601145,0.000722077,0.002146199,0.002151882,0.002146199,0.001091333,0.002699132,0.002530782,0.002179008,0.002627731,0.002026399,0.001292678,0.002594347,0.001467505,0.003227275,0.003227275,0.00494411
0.008889552,0.009258185,0.008419987,0.009132268,0.009767673,0.009132268,0.009249885,0.011501219,0.009949341,0.00855889,0.009998154,0.010208628,0.009315545,0.009491943,0.010562607,0.009610151,0.009610151,0.011725992
0.001326043,0.006394365,0.000824862,0.002043017,0.004708593,0.002043017,0.004699571,0.002079165,0.004665574,0.012890699,0.004582572,0.00326343,0.010211935,0.004974482,0.008350004,0.004000756,0.004000756,0.016068781
0.021168479,0.016567519,0.020414094,0.016317464,0.017717849,0.016317464,0.040998777,0.027635824,0.021396312,0.026124324,0.026059169,0.034279899,0.028474123,0.023610528,0.029547342,0.058341935,0.058341935,0.034928366
0.009447967,0.004990065,0.011287513,0.015413509,0.010450737,0.015413509,0.022818769,0.014196149,0.018253184,0.021199894,0.016495099,0.010198209,0.022420272,0.018971284,0.026042285,0.037641101,0.037641101,0.032666482
0.014469357,0.013839342,0.017058042,0.010321558,0.015386287,0.010321558,0.01377376,0.022683017,0.011494945,0.013612631,0.018012682,0.016813355,0.020550002,0.01469132,0.01192321,0.028513452,0.028513452,0.014575603
0.000962637,0.002263952,0.000921925,0.000189609,0.000753807,0.000189609,0,0.001213592,0.002482945,0.000888992,0,0.000823643,0.000934779,0.002121165,0.000924001,0.002578304,0.002578304,0.006332012
0.019854306,0.038872189,0.02951385,0.023201021,0.027937376,0.023201021,0.039434861,0.02893617,0.03082786,0.024381728,0.032623262,0.036053052,0.040027581,0.027666927,0.028045371,0.042309536,0.042309536,0.028692506
0.013519335,0.01094379,0.016340417,0.016246425,0.02248559,0.016246425,0.017167208,0.018646259,0.021946976,0.020242793,0.027099548,0.027898263,0,0.017877188,0.019678676,0.036088974,0.036088974,0.022166789
0.049534601,0.044949374,0.047740949,0.039812862,0.048863238,0.039812862,0.05232422,0.043611948,0.051409287,0.045783056,0.046979878,0.046895205,0.048093771,0.046967762,0.041919192,0.05523517,0.05523517,0.052696942
0.025695488,0.026360691,0.028794416,0.024844572,0.026711369,0.024844572,0.026129248,0.026488428,0.028488152,0.02313373,0.026799293,0.028870273,0.025702961,0.031620693,0.026402735,0.026150137,0.026150137,0.034498141
0.002268499,0.001113898,0.001862257,0.00294429,0.001143305,0.00294429,0.002903977,0.002199175,0.003339541,0.001596056,0.001857187,0.002240368,0.002588115,0.001660346,0.001829502,0.005346604,0.005346604,0.00306563
0.002274086,0.001116979,0.001837834,0.002952368,0.001325087,0.002952368,0.002909116,0.002169412,0.002932817,0.001576056,0.001870193,0.001999608,0.002577992,0.001660346,0.001812007,0.005022078,0.005022078,0.003089643
0.011602477,0.014524949,0.008333333,0.011626575,0.011086086,0.011626575,0.017009681,0.008899341,0.014506234,0.007034939,0.02019167,0.012177456,0,0.017988296,0.012540668,0.015906514,0.015906514,0.050694444
0.004193192,0.005629568,0.005103168,0.013125289,0.010935244,0.013125289,0.011541882,0.01028893,0.008864285,0.00948467,0.010660443,0.008075802,0,0.004608099,0.014162527,0.020308448,0.020308448,0.010034116
0.007258888,0.009376789,0.019529984,0.017232334,0.00685707,0.017232334,0.02471174,0.009110787,0.026528062,0.027531347,0.025279182,0.020521734,0,0.016812865,0.028271249,0.110541975,0.110541975,0.030022364
0.000709146,0.00143222,0.000385267,0.00069427,0.000594854,0.00069427,0.001693961,0.000835567,0.001368202,0.001664222,0.0002444,0.001525942,0.001292315,0.000268338,0.000852891,0.002379847,0.002379847,0.002215296
0.001746987,0.002167579,0.00316206,0.002343093,0.004778232,0.002343093,0.011631944,0.003698768,0.005305398,0.023815582,0.012416614,0.005483848,0.014092268,0.019658945,0.006996559,0.041835268,0.041835268,0.009979487
0.001856722,0.002114234,0.003609824,0.000661376,0.002690635,0.000661376,0.00351159,0.00262929,0.004160865,0.007251824,0.001571292,0.002241546,0,0.001973221,0.006446108,0.007758466,0.007758466,0.002880728
0.04640718,0.038018042,0.041453974,0.043726822,0.044115034,0.043726822,0.037372892,0.049479896,0.042110163,0.040333386,0.045320803,0.042472955,0.048329948,0.041174071,0.046010011,0.044962168,0.044962168,0.051158937
0.010961723,0.008670371,0.008365953,0.017811117,0.017716884,0.017811117,0.026821407,0.014648017,0.019568245,0.018091494,0.020819584,0.016116193,0,0.014459649,0.02199934,0.048119567,0.048119567,0.016840564
0.009997163,0.009866033,0.009601219,0.009150636,0.013514018,0.009150636,0.01351915,0.009418199,0.020970445,0.0181124,0.022936122,0.010713242,0.019747434,0.016516143,0.017738564,0.023585336,0.023585336,0.018990387
0.003193466,0.005194181,0.003560566,0.005269712,0.005001253,0.005269712,0.011183196,0.005255278,0.008313452,0.006982718,0.007347141,0.005617538,0.006068776,0.003195885,0.007715234,0.009891387,0.009891387,0.008636073
0.005361893,0.005680273,0.006697743,0.00936452,0.010922772,0.00936452,0.005701217,0.006731629,0.008358238,0.016299043,0.014414956,0.006186632,0,0.007713618,0.009210787,0.020683237,0.020683237,0.013948955
0.078149273,0.070014002,0.08907085,0.066288156,0.073255814,0.066288156,0.047230524,0.059802571,0.117930629,0.107469124,0.063534472,0.089447135,0.08938401,0.083898305,0.095999986,0.085379017,0.085379017,0.14959026
0.020719303,0.019999528,0.020402263,0.024579517,0.02083149,0.024579517,0.020529716,0.019337918,0.017495531,0.016685235,0.020982736,0.021326343,0.017813194,0.027425741,0.017576072,0.022955458,0.022955458,0.038696241
0.036186579,0.028532577,0.049521572,0.035447751,0.040292449,0.035447751,0.05055873,0.046351785,0.04172163,0.051201831,0.048892514,0.035740332,0.038007172,0.042189028,0.038135675,0.052433104,0.052433104,0.052233675
0.01581728,0.011111187,0.008547276,0.011578286,0.015718492,0.011578286,0.022601755,0.018099647,0.014247938,0.024988749,0.029084884,0.013936881,0.016820606,0.014849894,0.035207497,0.024036322,0.024036322,0.039804627
0.013266319,0.012361304,0.016193567,0.015907736,0.028752953,0.015907736,0.034305677,0.017158298,0.024234455,0.01956702,0.017631611,0.016491903,0,0.01592166,0.021824308,0.045305061,0.045305061,0.029081522
0.001338014,0.002391951,0.002530019,0.003691733,0.006385724,0.003691733,0.007005153,0.001751789,0.001637692,0.00455386,0.002022602,0.001804089,0,0.003868923,0.003477204,0.014681572,0.014681572,0.020718757
0.006314551,0.010769329,0.010051854,0.011024847,0.012004833,0.011024847,0.012701613,0.007086205,0.011724608,0.019286499,0.012089079,0.014887733,0,0.012896413,0.021043097,0.018226444,0.018226444,0.023921795
0.003527728,0.004309736,0.003683862,0.007024762,0.008383428,0.007024762,0.008015659,0.006120467,0.010158632,0.008620543,0.009790046,0.004585606,0,0.005222176,0.020365142,0.034832636,0.034832636,0.01347178
